GPID;GRID;PFID;CRAT;CHAT
0;24;98;0001-01-01 00:00:00;0001-01-01 00:00:00
44;5;51;2026-03-24 21:51:04;2026-03-24 21:51:04
45;19;51;2026-03-24 21:51:04;2026-03-24 21:51:04
46;24;51;2026-03-24 21:51:04;2026-03-24 21:51:04
247;5;55;2026-03-27 16:59:08;2026-03-27 16:59:08
248;9;55;2026-03-27 16:59:08;2026-03-27 16:59:08
249;14;55;2026-03-27 16:59:08;2026-03-27 16:59:08
250;15;55;2026-03-27 16:59:08;2026-03-27 16:59:08
251;16;55;2026-03-27 16:59:08;2026-03-27 16:59:08
252;19;55;2026-03-27 16:59:08;2026-03-27 16:59:08
253;20;55;2026-03-27 16:59:08;2026-03-27 16:59:08
254;21;55;2026-03-27 16:59:08;2026-03-27 16:59:08
255;23;55;2026-03-27 16:59:08;2026-03-27 16:59:08
256;24;55;2026-03-27 16:59:08;2026-03-27 16:59:08
486;15;8;2026-03-28 23:03:22;2026-03-28 23:03:22
577;5;70;2026-04-04 19:14:48;2026-04-04 19:14:48
578;14;70;2026-04-04 19:14:48;2026-04-04 19:14:48
579;15;70;2026-04-04 19:14:48;2026-04-04 19:14:48
580;16;70;2026-04-04 19:14:48;2026-04-04 19:14:48
581;19;70;2026-04-04 19:14:48;2026-04-04 19:14:48
582;23;70;2026-04-04 19:14:48;2026-04-04 19:14:48
593;5;71;2026-04-05 11:19:36;2026-04-05 11:19:36
594;9;71;2026-04-05 11:19:36;2026-04-05 11:19:36
595;10;71;2026-04-05 11:19:36;2026-04-05 11:19:36
596;14;71;2026-04-05 11:19:36;2026-04-05 11:19:36
597;15;71;2026-04-05 11:19:36;2026-04-05 11:19:36
598;16;71;2026-04-05 11:19:36;2026-04-05 11:19:36
599;19;71;2026-04-05 11:19:36;2026-04-05 11:19:36
600;20;71;2026-04-05 11:19:36;2026-04-05 11:19:36
601;21;71;2026-04-05 11:19:36;2026-04-05 11:19:36
602;24;71;2026-04-05 11:19:36;2026-04-05 11:19:36
612;5;72;2026-04-05 12:31:12;2026-04-05 12:31:12
613;9;72;2026-04-05 12:31:12;2026-04-05 12:31:12
614;14;72;2026-04-05 12:31:12;2026-04-05 12:31:12
615;15;72;2026-04-05 12:31:12;2026-04-05 12:31:12
616;16;72;2026-04-05 12:31:12;2026-04-05 12:31:12
617;19;72;2026-04-05 12:31:12;2026-04-05 12:31:12
618;20;72;2026-04-05 12:31:12;2026-04-05 12:31:12
619;21;72;2026-04-05 12:31:12;2026-04-05 12:31:12
620;24;72;2026-04-05 12:31:12;2026-04-05 12:31:12
621;5;73;2026-04-05 13:44:22;2026-04-05 13:44:22
622;9;73;2026-04-05 13:44:22;2026-04-05 13:44:22
623;14;73;2026-04-05 13:44:22;2026-04-05 13:44:22
624;15;73;2026-04-05 13:44:22;2026-04-05 13:44:22
625;16;73;2026-04-05 13:44:22;2026-04-05 13:44:22
626;19;73;2026-04-05 13:44:22;2026-04-05 13:44:22
627;20;73;2026-04-05 13:44:22;2026-04-05 13:44:22
628;24;73;2026-04-05 13:44:22;2026-04-05 13:44:22
636;5;13;2026-04-06 11:08:11;2026-04-06 11:08:11
637;9;13;2026-04-06 11:08:11;2026-04-06 11:08:11
638;14;13;2026-04-06 11:08:11;2026-04-06 11:08:11
639;15;13;2026-04-06 11:08:11;2026-04-06 11:08:11
640;16;13;2026-04-06 11:08:11;2026-04-06 11:08:11
641;19;13;2026-04-06 11:08:11;2026-04-06 11:08:11
642;24;13;2026-04-06 11:08:11;2026-04-06 11:08:11
655;5;64;2026-04-12 10:12:07;2026-04-12 10:12:07
656;9;64;2026-04-12 10:12:07;2026-04-12 10:12:07
657;15;64;2026-04-12 10:12:07;2026-04-12 10:12:07
658;19;64;2026-04-12 10:12:07;2026-04-12 10:12:07
659;20;64;2026-04-12 10:12:07;2026-04-12 10:12:07
660;23;64;2026-04-12 10:12:07;2026-04-12 10:12:07
661;5;75;2026-04-12 10:15:28;2026-04-12 10:15:28
662;9;75;2026-04-12 10:15:28;2026-04-12 10:15:28
663;14;75;2026-04-12 10:15:28;2026-04-12 10:15:28
664;15;75;2026-04-12 10:15:28;2026-04-12 10:15:28
665;16;75;2026-04-12 10:15:28;2026-04-12 10:15:28
666;19;75;2026-04-12 10:15:28;2026-04-12 10:15:28
667;20;75;2026-04-12 10:15:28;2026-04-12 10:15:28
668;21;75;2026-04-12 10:15:28;2026-04-12 10:15:28
669;23;75;2026-04-12 10:15:28;2026-04-12 10:15:28
676;5;76;2026-04-12 14:11:44;2026-04-12 14:11:44
677;7;76;2026-04-12 14:11:44;2026-04-12 14:11:44
678;9;76;2026-04-12 14:11:44;2026-04-12 14:11:44
679;10;76;2026-04-12 14:11:44;2026-04-12 14:11:44
680;14;76;2026-04-12 14:11:44;2026-04-12 14:11:44
681;23;76;2026-04-12 14:11:44;2026-04-12 14:11:44
682;5;77;2026-04-12 14:50:34;2026-04-12 14:50:34
683;19;77;2026-04-12 14:50:34;2026-04-12 14:50:34
684;23;77;2026-04-12 14:50:34;2026-04-12 14:50:34
705;5;79;2026-04-18 13:36:23;2026-04-18 13:36:23
706;9;79;2026-04-18 13:36:23;2026-04-18 13:36:23
707;10;79;2026-04-18 13:36:23;2026-04-18 13:36:23
708;14;79;2026-04-18 13:36:23;2026-04-18 13:36:23
709;19;79;2026-04-18 13:36:23;2026-04-18 13:36:23
710;24;79;2026-04-18 13:36:23;2026-04-18 13:36:23
718;5;80;2026-04-18 18:47:26;2026-04-18 18:47:26
719;14;80;2026-04-18 18:47:26;2026-04-18 18:47:26
720;15;80;2026-04-18 18:47:26;2026-04-18 18:47:26
721;16;80;2026-04-18 18:47:26;2026-04-18 18:47:26
722;19;80;2026-04-18 18:47:26;2026-04-18 18:47:26
723;20;80;2026-04-18 18:47:26;2026-04-18 18:47:26
724;25;80;2026-04-18 18:47:26;2026-04-18 18:47:26
725;5;81;2026-04-18 19:09:39;2026-04-18 19:09:39
