MENAM;PONAM;DESCR;DATYP;DALEN;PORDE;PRIMK;AUTOI;CRAT;CRUS;CHAT;CHUS
T1CTABD;TXTYP;Texttype;01;2;1;1;0;2026-06-20 15:04:57;prage;2026-06-20 15:05:14;prage
T1CTABD;TXNUM;Textnumber;01;6;2;1;0;2026-06-20 15:05:15;prage;2026-06-30 18:26:48;prage
T1CTABD;DESCR;Description;01;300;3;0;0;2026-06-20 15:05:26;prage;2026-06-20 15:05:37;prage
T1CTABD;CRAT;Created At;05;0;4;0;0;2026-06-20 15:05:38;prage;2026-06-20 18:51:42;prage
T1CTABD;CHAT;Changed at;05;0;5;0;0;2026-06-20 15:06:01;prage;2026-06-20 18:51:47;prage
T1CTABD;PARM1;Parameter 1;01;300;6;0;0;2026-06-20 15:06:10;prage;2026-06-20 15:06:29;prage
T1CTABD;PARM2;Parameter 2;01;300;7;0;0;2026-06-20 15:06:30;prage;2026-06-20 15:06:45;prage
T1CTABH;TXTYP;Texttype;01;2;1;1;0;2026-06-20 15:12:53;prage;2026-06-20 15:13:09;prage
T1CTABH;DESCR;Description;01;200;2;0;0;2026-06-20 15:13:10;prage;2026-06-20 15:17:50;prage
T1CTABH;PERMI;Permission;01;2;3;0;0;2026-06-20 15:13:23;prage;2026-06-20 15:13:37;prage
T1CTABH;PAAC1;Parameter 1 active;06;0;4;0;0;2026-06-20 15:13:38;prage;2026-06-20 18:52:01;prage
T1CTABH;PADE1;Parameter 1 Description;01;200;5;0;0;2026-06-20 15:13:57;prage;2026-06-20 15:18:02;prage
T1CTABH;PARF1;Parameter 1 required;06;0;6;0;0;2026-06-20 15:14:11;prage;2026-06-20 18:52:07;prage
T1CTABH;PACO1;Parameter 1 Control Type;01;2;7;0;0;2026-06-20 15:14:24;prage;2026-06-20 15:14:42;prage
T1CTABH;PACT1;Paramter 1 Codetable;01;2;8;0;0;2026-06-20 15:14:42;prage;2026-06-20 15:15:00;prage
T1CTABH;PAAC2;Parameter 2 active;06;0;9;0;0;2026-06-20 15:15:13;prage;2026-06-20 18:52:15;prage
T1CTABH;PADE2;Parameter 2 Description;01;200;10;0;0;2026-06-20 15:15:27;prage;2026-06-20 15:18:07;prage
T1CTABH;PARF2;Parameter 2 required;06;0;11;0;0;2026-06-20 15:15:44;prage;2026-06-20 18:52:19;prage
T1CTABH;PACO2;Parameter 2 Control Type;01;2;12;0;0;2026-06-20 15:15:57;prage;2026-06-20 15:16:13;prage
T1CTABH;PACT2;Parameter 2 Codetable;01;2;13;0;0;2026-06-20 15:16:29;prage;2026-06-20 15:16:41;prage
T1CTABH;CRAT;Created At;05;0;14;0;0;2026-06-20 15:16:44;prage;2026-06-20 18:52:25;prage
T1CTABH;CHAT;Changed At;05;0;15;0;0;2026-06-20 15:16:55;prage;2026-06-20 18:52:28;prage
T1GROUP;GRID;Group Id;03;0;1;1;1;2026-06-20 00:00:00;system;2026-06-20 16:10:51;prage
T1GROUP;GRNA;Group Name;01;200;2;0;0;2026-06-20 00:00:00;system;2026-06-20 00:00:00;system
T1GROUP;GTYP;Group Type;01;200;3;0;0;2026-06-20 00:00:00;system;2026-06-20 00:00:00;system
T1GROUP;CRAT;Created At;05;0;4;0;0;2026-06-20 00:00:00;system;2026-06-20 16:25:44;prage
T1GROUP;CHAT;Changed At;05;0;5;0;0;2026-06-20 00:00:00;system;2026-06-20 16:25:47;prage
T1GRPPO;GPID;Group Profile Id;03;0;1;1;1;2026-06-20 00:00:00;system;2026-06-20 16:11:18;prage
T1GRPPO;GRID;Group Id;03;0;2;0;0;2026-06-20 00:00:00;system;2026-06-20 16:11:22;prage
T1GRPPO;PFID;Profile Id;03;0;3;0;0;2026-06-20 00:00:00;system;2026-06-20 16:11:25;prage
T1GRPPO;CRAT;Created At;05;0;4;0;0;2026-06-20 00:00:00;system;2026-06-20 16:26:02;prage
T1GRPPO;CHAT;Changed At;05;0;5;0;0;2026-06-20 00:00:00;system;2026-06-20 16:26:04;prage
T1PLTHR;PTID;Playthrough Id;03;0;1;1;1;2026-06-20 00:00:00;system;2026-06-20 16:11:45;prage
T1PLTHR;PFID;Profile Id;03;0;2;0;0;2026-06-20 00:00:00;system;2026-06-20 16:11:49;prage
T1PLTHR;PTTY;Playthrough Type;01;200;3;0;0;2026-06-20 00:00:00;system;2026-06-20 00:00:00;system
T1PLTHR;PTDE;Description;01;200;4;0;0;2026-06-20 00:00:00;system;2026-06-20 15:30:06;prage
T1PLTHR;PTCO;Playthrough Completed;06;0;5;0;0;2026-06-20 00:00:00;system;2026-06-20 16:18:27;prage
T1PLTHR;CRAT;Created At;05;0;6;0;0;2026-06-20 00:00:00;system;2026-06-20 16:18:41;prage
T1PLTHR;CHAT;Changed At;05;0;7;0;0;2026-06-20 00:00:00;system;2026-06-20 16:18:45;prage
T1PLTHR;PTCA;Playthrough Canceled;06;0;8;0;0;2026-06-20 00:00:00;system;2026-06-20 16:18:32;prage
T1PROFI;PFID;Profile Id;03;0;1;1;1;2026-06-20 00:00:00;system;2026-06-20 16:12:00;prage
T1PROFI;GANA;Game Name;01;200;2;0;0;2026-06-20 00:00:00;system;2026-06-20 00:00:00;system
T1PROFI;FIPL;First Played;05;0;3;0;0;2026-06-20 00:00:00;system;2026-06-20 16:19:02;prage
T1PROFI;LAPL;Last Played;05;0;4;0;0;2026-06-20 00:00:00;system;2026-06-20 16:19:06;prage
T1PROFI;PPFN;Profile Picture Filename;01;10000;5;0;0;2026-06-20 00:00:00;system;2026-06-20 00:00:00;system
T1PROFI;EXGF;External Game Folder;01;10000;6;0;0;2026-06-20 00:00:00;system;2026-06-20 15:31:15;prage
T1PROFI;SAID;Steam App ID;03;0;7;0;0;2026-06-20 00:00:00;system;2026-06-20 21:07:38;prage
T1PROFI;PRSE;Profile Settings;07;0;8;0;0;2026-06-20 00:00:00;system;2026-06-20 16:19:13;prage
T1PROFI;EXEC;Executables;07;0;9;0;0;2026-06-20 00:00:00;system;2026-06-20 16:19:20;prage
T1PROFI;CRAT;Created At;05;0;10;0;0;2026-06-20 00:00:00;system;2026-06-20 16:19:43;prage
T1PROFI;CHAT;Changed At;05;0;11;0;0;2026-06-20 00:00:00;system;2026-06-20 16:19:48;prage
T1PROFI;ACCO;Accentcolors;07;0;12;0;0;2026-06-20 00:00:00;system;2026-06-20 16:19:59;prage
T1PROFI;ACIN;Accentcolors Initialized;07;0;13;0;0;2026-06-20 00:00:00;system;2026-06-20 16:20:10;prage
T1PROFI;ACAC;Accentcolors active;06;0;14;0;0;2026-06-20 00:00:00;system;2026-06-20 16:20:05;prage
T1PROFI;CUPT;Current Playthrough;03;0;15;0;0;2026-06-20 00:00:00;system;2026-06-20 16:12:12;prage
T1PROFI;ETMA;Estimated Main;04;0;16;0;0;2026-06-20 00:00:00;system;2026-06-20 16:20:23;prage
T1PROFI;ETME;Estimated Main+Extra;04;0;17;0;0;2026-06-20 00:00:00;system;2026-06-20 16:20:27;prage
T1PROFI;ETCO;Estimated Completionist;04;0;18;0;0;2026-06-20 00:00:00;system;2026-06-20 16:20:32;prage
T1PROFI;ETTY;Estimated Time Type;01;200;19;0;0;2026-06-20 00:00:00;system;2026-06-20 00:00:00;system
T1PROFI;ETML;Estimated Time Manual;06;0;20;0;0;2026-06-20 00:00:00;system;2026-06-20 16:20:39;prage
T1PROFI;ARCH;Archived;06;0;21;0;0;2026-06-20 00:00:00;system;2026-06-20 16:20:43;prage
T1SESSI;SEID;Session Id;03;0;1;1;1;2026-06-20 00:00:00;system;2026-06-20 16:12:26;prage
T1SESSI;PFID;Profile Id;03;0;2;0;0;2026-06-20 00:00:00;system;2026-06-20 16:12:30;prage
T1SESSI;PTID;Playthrough Id;03;0;3;0;0;2026-06-20 00:00:00;system;2026-06-20 16:12:34;prage
T1SESSI;PLFR;Play From;05;0;4;0;0;2026-06-20 00:00:00;system;2026-06-20 16:20:53;prage
T1SESSI;PLTO;Play To;05;0;5;0;0;2026-06-20 00:00:00;system;2026-06-20 16:20:57;prage
T1SESSI;PLTI;Play Time;04;0;6;0;0;2026-06-20 00:00:00;system;2026-06-20 16:21:03;prage
T1SESSI;CRAT;Created At;05;0;7;0;0;2026-06-20 00:00:00;system;2026-06-20 16:21:08;prage
T1SESSI;CHAT;Changed At;05;0;8;0;0;2026-06-20 00:00:00;system;2026-06-20 16:21:13;prage
T1CTABH;NRANA;Number range active;06;0;16;0;0;2026-06-30 18:13:05;prage;2026-06-30 18:14:39;prage
T1PROFI;PLAFO;Platform;01;8;22;0;0;2026-06-30 19:27:53;prage;2026-06-30 19:28:28;prage
T1CTABH;EXPRT;Export into import package;06;0;17;0;0;2026-06-30 20:04:55;prage;2026-06-30 20:05:07;prage
