PFID;GANA;FIPL;LAPL;PPFN;EXGF;SAID;PRSE;EXEC;CRAT;CHAT;ACCO;ACIN;ACAC;CUPT;ETMA;ETME;ETCO;ETTY;ETML;ARCH
1;The Thaumaturge;2024-12-15 17:26:21;2024-12-30 09:31:59;BPJyHLTQcEy93ZGjyKPuEA.jpg;C:\Program Files (x86)\Steam\steamapps\common\The Thaumaturge;0;"{""HDREnabled"":false,""SteamGameArgs"":""""}";;2024-12-15 16:28:42;2026-03-24 18:34:17;"{""AccentColors"":{""accent"":""#BD1315"",""hover"":""#E31719"",""pressed"":""#8E0E10""}}";"{""AccentColors"":{""#FFBD1315"":true,""#FFCF152D"":false,""#FF9F1726"":false}}";1;0;960;1560;2400;GTN.EST_TIME.MAIN_EXTRA;0;0
2;Disco Elysium;2024-12-30 10:22:43;2025-01-05 23:47:22;takKpqefzE6zYsx6dYo6vg.jpg;C:\Program Files (x86)\Steam\steamapps\common\Disco Elysium;0;"{""HDREnabled"":false,""SteamGameArgs"":""""}";;2024-12-30 09:33:31;2026-03-18 07:39:14;"{""AccentColors"":{""accent"":""#C14B20"",""hover"":""#E85A26"",""pressed"":""#913818""}}";"{""AccentColors"":{""#FFC14B20"":true,""#FFA83A1F"":false,""#FFDD8041"":false}}";1;0;;;;GTN.EST_TIME.NONE;0;0
4;Pathfinder: Wrath of the Righteous;2025-01-08 19:02:26;2025-02-01 19:03:16;23_QrQqCnkGxggdWA8y4rQ.jpg;C:\Program Files (x86)\Steam\steamapps\common\Pathfinder Second Adventure;0;"{""HDREnabled"":false,""SteamGameArgs"":""""}";;2025-01-08 18:40:14;2026-04-01 18:58:37;"{""AccentColors"":{""accent"":""#6121BC"",""hover"":""#7428E2"",""pressed"":""#49198D""}}";"{""AccentColors"":{""#FF6121BC"":true,""#FF881FC6"":false,""#FF561F9D"":false}}";1;0;0;0;0;GTN.EST_TIME.NONE;0;1
5;Baldurs Gate 3;2025-02-02 13:25:57;2025-02-17 19:55:51;_gx6Ije9vkGFEl7dVf1o-A.jpg;C:\Program Files (x86)\Steam\steamapps\common\Baldurs Gate 3;0;"{""HDREnabled"":false,""SteamGameArgs"":""""}";;2025-02-02 09:07:46;2026-04-01 18:58:42;"{""AccentColors"":{""accent"":""#A3651B"",""hover"":""#C47920"",""pressed"":""#7A4C14""}}";"{""AccentColors"":{""#FFA3651B"":true,""#FF884B17"":false,""#FF682E12"":false}}";1;0;0;0;0;GTN.EST_TIME.NONE;0;1
6;The Witcher 3;2025-02-20 19:45:49;2025-03-09 21:06:20;JbNH7AQtRkCIvVZChAGbvw.jpg;;0;"{""HDREnabled"":false,""SteamGameArgs"":""""}";"{""KeyValuePairs"":{}}";2025-02-20 16:53:41;2026-03-24 18:53:41;"{""AccentColors"":{""accent"":""#DD4653"",""hover"":""#FF5464"",""pressed"":""#A6343E""}}";"{""AccentColors"":{""#FFC71E39"":false,""#FFA11E2C"":false,""#FFDD4653"":true}}";1;0;2242.5333333333333;4296.15;9691.383333333333;GTN.EST_TIME.MAIN_EXTRA;0;0
8;Cronos: The New Dawn;2025-09-15 17:00:00;2025-09-26 20:48:07;5WShmrzPVUqbPM4rM84svw.jpg;c:\program files (x86)\steam\steamapps\common\Cronos. The New Dawn;2101960;"{""HDREnabled"":true,""SteamGameArgs"":""""}";"{""KeyValuePairs"":{""Cronos.exe"":true,""Cronos-Win64-Shipping.exe"":true,""CrashReportClient.exe"":false,""EpicWebHelper.exe"":false}}";2025-09-17 23:37:12;2026-03-18 07:37:20;"{""AccentColors"":{""accent"":""#B11B11"",""hover"":""#D42014"",""pressed"":""#85140D""}}";"{""AccentColors"":{""#FFB11B11"":true,""#FF920F0E"":false,""#FF660A0B"":false}}";1;0;;;;GTN.EST_TIME.NONE;0;0
9;SILENT HILL f;2025-09-27 09:56:21;2025-10-04 13:39:33;9iYuN3YaBU2CJwuiRk1pgw.jpg;c:\program files (x86)\steam\steamapps\common\SILENT HILL f;2947440;"{""HDREnabled"":true,""SteamGameArgs"":""-nostartupmovies;-novid;-;FastLaunch""}";"{""KeyValuePairs"":{""SHf.exe"":true,""CrashReportClient.exe"":false,""SHf-Win64-Shipping.exe"":true,""UEPrereqSetup_x64.exe"":false}}";2025-09-26 22:04:31;2026-03-18 07:37:00;"{""AccentColors"":{""accent"":""#0E2363"",""hover"":""#112A77"",""pressed"":""#0A1A4A""}}";"{""AccentColors"":{""#FF0E2363"":true,""#FF601021"":false,""#FF1A4372"":false}}";1;0;;;;GTN.EST_TIME.NONE;0;0
10;SILENT HILL 2;2025-10-04 16:28:11;2025-10-05 17:59:16;HqMvWrphbk64RJZ3QoGr1Q.jpg;c:\program files (x86)\steam\steamapps\common\SILENT HILL 2;2124490;"{""HDREnabled"":true,""SteamGameArgs"":""""}";"{""KeyValuePairs"":{""SHProto.exe"":true,""CrashReportClient.exe"":false,""SHProto-Win64-Shipping.exe"":true}}";2025-10-04 13:57:04;2026-04-08 22:34:13;"{""AccentColors"":{""accent"":""#C32C3A"",""hover"":""#EA3546"",""pressed"":""#92212C""}}";"{""AccentColors"":{""#FFC32C3A"":true,""#FFA22A28"":false,""#FFE14448"":false}}";1;0;0;0;0;GTN.EST_TIME.NONE;0;0
11;Resident Evil 2;2025-10-05 19:42:36;2025-10-11 11:25:28;K_oRSK-WNUyAbCHW7YXaUg.jpg;c:\program files (x86)\steam\steamapps\common\RESIDENT EVIL 2  BIOHAZARD RE2;883710;"{""HDREnabled"":false,""SteamGameArgs"":""""}";"{""KeyValuePairs"":{""re2.exe"":true}}";2025-10-05 19:32:52;2026-03-18 07:36:22;"{""AccentColors"":{""accent"":""#76142B"",""hover"":""#8E1834"",""pressed"":""#580F20""}}";"{""AccentColors"":{""#FFDF9D49"":false,""#FF76142B"":true,""#FF5F1A11"":false}}";1;0;;;;GTN.EST_TIME.NONE;0;0
12;Resident Evil 3;2025-10-11 12:34:37;2025-10-11 21:59:27;HfEQi5fT-EWlq52cyTuXow.jpg;c:\program files (x86)\steam\steamapps\common\RE3;952060;"{""HDREnabled"":false,""SteamGameArgs"":""""}";"{""KeyValuePairs"":{""InstallerMessage.exe"":false,""re3.exe"":true}}";2025-10-11 12:30:56;2026-03-18 07:35:45;"{""AccentColors"":{""accent"":""#C31320"",""hover"":""#EA1726"",""pressed"":""#920E18""}}";"{""AccentColors"":{""#FFC31320"":true,""#FFE5A443"":false,""#FFE27546"":false}}";1;0;;;;GTN.EST_TIME.NONE;0;0
